,area_of_improvement,recommdation_likeliness,communication_availability,online_platform,extracurricular_activities,library_availibility,prompt_feedback,classroom_interaction,course_clarity,student_support_services,academic_advisers,cleanliness,research_resources,accommodation,course_curriculum,teaching_quality,student_satisfaction
7/14/2023 6:37:47,Academics,Likely,Good,Good,Below Average,Excellent,Yes,2,3,No,Slightly Available,Good,Excellent,Not satisfied,Good,Average,4
7/14/2023 6:46:28,Campus facilities,Neutral,Excellent,Below Average,Good,Average,Yes,4,4,Yes,Slightly Available,Average,Average,Moderately satisfied,Good,Good,4
7/14/2023 6:46:30,Communication and information,Neutral,Average,Good,Average,Below Average,No,4,3,No,Slightly Available,Average,Average,Slightly satisfied,Good,Good,3
7/14/2023 6:56:51,Student support services,Likely,Good,Below Average,Excellent,Average,Yes,4,3,No,Slightly Available,Below Average,Poor,Very satisfied,Excellent,Good,3
7/14/2023 6:57:27,Academics,Very likely,Excellent,Average,Good,Good,Yes,1,2,Yes,Very Available,Good,Excellent,Very satisfied,Good,Excellent,1
7/14/2023 7:01:43,Student support services,Very likely,Good,Good,Excellent,Good,No,5,1,No,Very Available,Excellent,Good,Extremely satisfied,Good,Excellent,1
7/14/2023 7:04:07,Other,Likely,Average,Average,Average,Good,Yes,3,3,Yes,Slightly Available,Good,Poor,Moderately satisfied,Average,Good,3
7/14/2023 7:10:06,Communication and information,Neutral,Average,Average,Good,Average,Yes,3,4,Yes,Moderately Available,Good,Good,Moderately satisfied,Average,Average,3
7/14/2023 7:11:36,Student support services,Likely,Average,Good,Good,Average,Yes,2,3,Yes,Very Available,Average,Average,Slightly satisfied,Good,Good,4
7/14/2023 7:20:39,Campus facilities,Likely,Average,Average,Good,Good,No,3,1,Yes,Slightly Available,Average,Poor,Very satisfied,Good,Excellent,4
7/14/2023 7:37:36,Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,5
7/14/2023 7:47:07,Academics,Very likely,Good,Average,Good,Good,Yes,2,2,Yes,Very Available,Good,Good,Extremely satisfied,Good,Excellent,1
7/14/2023 7:47:54,Campus facilities,Very likely,Good,Good,Good,Good,No,2,2,Yes,Very Available,Good,Average,Very satisfied,Excellent,Excellent,2
7/14/2023 7:48:25,Campus facilities,Neutral,Below Average,Below Average,Average,Average,No,3,2,No,Moderately Available,Below Average,Average,Moderately satisfied,Average,Average,3
7/14/2023 7:49:12,Academics,Neutral,Good,Below Average,Good,Good,No,4,4,No,Moderately Available,Excellent,Good,Extremely satisfied,Average,Average,4
7/14/2023 7:51:42,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,4,1,Yes,Very Available,Excellent,Good,Extremely satisfied,Excellent,Excellent,5
7/14/2023 7:53:21,Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/14/2023 7:59:38,Academics,Neutral,Average,Good,Good,Average,No,2,3,No,Moderately Available,Below Average,Good,Moderately satisfied,Good,Average,3
7/14/2023 8:01:05,Academics,Very unlikely,Poor,Poor,Poor,Poor,No,1,1,No,Not Available,Average,Poor,Not satisfied,Poor,Poor,1
7/14/2023 8:09:26,Academics,Likely,Excellent,Excellent,Excellent,Good,Yes,1,3,Yes,Moderately Available,Good,Good,Extremely satisfied,Good,Good,4
7/14/2023 8:13:27,Campus facilities,Likely,Average,Average,Good,Good,Yes,4,4,No,Moderately Available,Below Average,Good,Very satisfied,Good,Good,4
7/14/2023 8:19:27,Academics,Likely,Good,Good,Good,Good,Yes,1,1,Yes,Moderately Available,Good,Good,Very satisfied,Excellent,Good,1
7/14/2023 8:40:05,Communication and information,Neutral,Average,Good,Good,Average,Yes,1,3,Yes,Very Available,Good,Good,Very satisfied,Good,Good,1
7/14/2023 8:46:42,Other,Neutral,Average,Average,Average,Average,Yes,2,2,No,Moderately Available,Average,Good,Moderately satisfied,Good,Good,1
7/14/2023 8:47:16,Campus facilities,Likely,Excellent,Average,Poor,Good,Yes,2,3,No,Slightly Available,Good,Average,Moderately satisfied,Good,Good,4
7/14/2023 8:49:43,Academics,Very likely,Good,Good,Good,Good,Yes,4,5,No,Very Available,Good,Good,Very satisfied,Good,Good,5
7/14/2023 8:55:43,Student support services,Neutral,Good,Good,Good,Good,Yes,1,1,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,1
7/14/2023 8:55:43,Student support services,Neutral,Good,Good,Good,Good,Yes,1,1,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,1
7/14/2023 8:56:32,Student support services,Neutral,Good,Good,Good,Good,Yes,1,1,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,1
7/14/2023 8:58:04,Other,Likely,Poor,Good,Excellent,Below Average,Yes,5,3,No,Moderately Available,Good,Average,Extremely satisfied,Average,Excellent,4
7/14/2023 8:58:36,Campus facilities,Neutral,Average,Average,Average,Average,No,3,5,Yes,Very Available,Average,Average,Moderately satisfied,Average,Excellent,3
7/14/2023 8:59:00,Campus facilities,Likely,Below Average,Average,Average,Average,Yes,4,5,Yes,Very Available,Average,Average,Moderately satisfied,Average,Good,5
7/14/2023 9:00:49,Other,Very likely,Good,Poor,Good,Average,Yes,1,1,Yes,Not Available,Good,Excellent,Very satisfied,Good,Excellent,1
7/14/2023 9:06:09,Other,Neutral,Average,Average,Excellent,Poor,Yes,2,3,Yes,Moderately Available,Below Average,Average,Moderately satisfied,Average,Below Average,2
7/14/2023 9:14:27,Student support services,Neutral,Excellent,Excellent,Average,Average,Yes,2,3,Yes,Very Available,Good,Good,Very satisfied,Good,Good,1
7/14/2023 9:16:28,Campus facilities,Likely,Average,Good,Average,Average,Yes,4,4,Yes,Moderately Available,Average,Good,Moderately satisfied,Good,Good,3
7/14/2023 9:17:37,Other,Likely,Average,Good,Average,Good,Yes,1,3,No,Very Available,Average,Average,Very satisfied,Average,Average,5
7/14/2023 9:31:10,Student support services,Neutral,Good,Average,Good,Below Average,Yes,2,2,Yes,Moderately Available,Average,Average,Slightly satisfied,Good,Good,1
7/14/2023 9:31:22,Campus facilities,Neutral,Good,Excellent,Average,Average,Yes,1,3,Yes,Moderately Available,Poor,Good,Not satisfied,Average,Average,1
7/14/2023 9:34:44,Communication and information,Very likely,Good,Good,Good,Average,Yes,3,3,No,Not Available,Average,Good,Moderately satisfied,Average,Good,3
7/14/2023 9:37:45,Student support services,Neutral,Good,Good,Good,Good,Yes,1,1,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,1
7/14/2023 9:41:33,Student support services,Very likely,Average,Good,Average,Poor,Yes,2,1,Yes,Slightly Available,Average,Good,Very satisfied,Average,Good,3
7/14/2023 9:48:58,Academics,Very likely,Good,Good,Good,Average,Yes,3,3,Yes,Moderately Available,Below Average,Excellent,Moderately satisfied,Good,Excellent,4
7/14/2023 9:56:42,Other,Likely,Good,Average,Poor,Average,Yes,5,4,No,Moderately Available,Good,Average,Very satisfied,Good,Excellent,2
7/14/2023 9:58:49,Communication and information,Likely,Good,Good,Good,Good,No,2,2,No,Moderately Available,Good,Average,Moderately satisfied,Good,Average,3
7/14/2023 10:15:42,Other,Very likely,Excellent,Good,Average,Average,Yes,2,5,Yes,Very Available,Good,Good,Extremely satisfied,Good,Good,5
7/14/2023 10:44:43,Student support services,Neutral,Average,Average,Average,Average,Yes,3,3,No,Slightly Available,Below Average,Good,Slightly satisfied,Average,Average,3
7/14/2023 10:49:16,Campus facilities,Likely,Good,Average,Average,Good,No,4,4,No,Moderately Available,Good,Excellent,Moderately satisfied,Good,Excellent,4
7/14/2023 10:51:31,Academics,Likely,Average,Average,Good,Excellent,Yes,4,4,Yes,Moderately Available,Poor,Excellent,Very satisfied,Good,Good,3
7/14/2023 10:53:12,Campus facilities,Likely,Good,Excellent,Below Average,Poor,No,2,2,No,Slightly Available,Good,Below Average,Slightly satisfied,Below Average,Below Average,2
7/14/2023 10:59:06,Academics,Likely,Excellent,Good,Poor,Good,Yes,4,4,Yes,Moderately Available,Average,Excellent,Extremely satisfied,Average,Good,3
7/14/2023 11:09:43,Campus facilities,Very likely,Excellent,Good,Excellent,Good,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/14/2023 11:09:47,Campus facilities,Very unlikely,Below Average,Poor,Poor,Poor,No,5,5,No,Not Available,Poor,Poor,Slightly satisfied,Poor,Poor,5
7/14/2023 11:13:46,Campus facilities,Neutral,Good,Good,Excellent,Poor,Yes,2,3,No,Moderately Available,Poor,Good,Slightly satisfied,Good,Good,2
7/14/2023 11:18:57,Other,Very likely,Good,Excellent,Good,Excellent,Yes,3,3,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,3
7/14/2023 12:20:46,Student support services,Neutral,Good,Excellent,Average,Average,No,5,4,Yes,Very Available,Good,Excellent,Very satisfied,Good,Good,3
7/14/2023 13:47:00,Campus facilities,Very likely,Poor,Good,Good,Good,Yes,1,2,Yes,Not Available,Excellent,Good,Very satisfied,Excellent,Good,2
7/14/2023 13:58:54,Academics,Likely,Good,Good,Good,Good,Yes,1,2,No,Very Available,Good,Good,Very satisfied,Average,Good,1
7/14/2023 14:13:16,Communication and information,Neutral,Good,Good,Good,Good,Yes,3,4,No,Moderately Available,Excellent,Good,Moderately satisfied,Average,Average,3
7/14/2023 14:13:18,Academics,Neutral,Good,Good,Excellent,Average,Yes,3,3,Yes,Moderately Available,Average,Below Average,Slightly satisfied,Average,Good,3
7/14/2023 14:16:10,Communication and information,Likely,Good,Average,Average,Good,Yes,3,3,No,Moderately Available,Good,Average,Moderately satisfied,Average,Good,3
7/14/2023 14:54:25,Student support services,Likely,Below Average,Good,Average,Good,Yes,2,2,No,Not Available,Poor,Poor,Moderately satisfied,Below Average,Average,3
7/14/2023 16:00:23,Campus facilities,Likely,Average,Average,Average,Average,No,3,3,No,Slightly Available,Below Average,Average,Not satisfied,Average,Average,3
7/14/2023 17:37:12,Student support services,Very likely,Good,Good,Good,Good,Yes,2,2,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,1
7/14/2023 17:51:52,Other,Likely,Good,Excellent,Excellent,Good,No,4,4,No,Moderately Available,Good,Excellent,Extremely satisfied,Excellent,Excellent,4
7/14/2023 17:54:00,Student support services,Very unlikely,Below Average,Good,Poor,Poor,Yes,1,1,No,Not Available,Poor,Poor,Not satisfied,Average,Poor,1
7/14/2023 19:07:51,Campus facilities,Unlikely,Poor,Poor,Below Average,Excellent,Yes,4,5,Yes,Very Available,Poor,Good,Moderately satisfied,Average,Good,3
7/14/2023 19:11:52,Campus facilities,Likely,Good,Good,Excellent,Average,No,1,3,No,Moderately Available,Good,Good,Slightly satisfied,Good,Good,1
7/14/2023 19:14:29,Student support services,Very unlikely,Good,Poor,Below Average,Average,Yes,1,5,No,Not Available,Good,Average,Not satisfied,Below Average,Good,4
7/14/2023 20:00:05,Communication and information,Very likely,Good,Good,Good,Good,Yes,3,3,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,5
7/14/2023 20:06:12,Academics,Likely,Good,Good,Average,Good,Yes,1,3,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,2
7/14/2023 21:28:28,Communication and information,Very likely,Below Average,Below Average,Good,Excellent,No,4,5,Yes,Not Available,Average,Good,Extremely satisfied,Average,Poor,1
7/14/2023 21:37:08,Student support services,Very likely,Excellent,Excellent,Excellent,Average,No,5,5,No,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,4
7/14/2023 21:44:07,Communication and information,Neutral,Good,Good,Average,Excellent,No,4,4,Yes,Slightly Available,Excellent,Good,Very satisfied,Below Average,Average,3
7/14/2023 22:57:18,Student support services,Very likely,Good,Good,Good,Excellent,Yes,3,4,No,Moderately Available,Good,Good,Very satisfied,Excellent,Good,4
7/15/2023 0:24:32,Other,Likely,Good,Good,Good,Good,Yes,5,5,Yes,Moderately Available,Good,Good,Not satisfied,Good,Good,4
7/15/2023 0:41:42,Student support services,Neutral,Good,Average,Average,Below Average,Yes,2,3,Yes,Slightly Available,Average,Good,Moderately satisfied,Average,Good,4
7/15/2023 8:06:52,Academics,Likely,Excellent,Below Average,Excellent,Good,Yes,5,5,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Average,5
7/15/2023 9:27:49,Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/15/2023 11:36:28,Communication and information,Neutral,Good,Average,Excellent,Excellent,Yes,4,4,No,Very Available,Good,Excellent,Slightly satisfied,Good,Good,3
7/15/2023 13:27:15,Campus facilities,Very likely,Good,Good,Good,Good,No,4,4,No,Very Available,Good,Good,Very satisfied,Good,Good,4
7/15/2023 13:29:11,Student support services,Very likely,Good,Good,Good,Good,Yes,4,3,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,2
7/15/2023 14:04:56,Communication and information,Neutral,Below Average,Good,Below Average,Below Average,Yes,3,2,Yes,Moderately Available,Average,Below Average,Not satisfied,Average,Average,3
7/15/2023 17:39:19,Academics,Unlikely,Below Average,Average,Average,Average,No,3,3,No,Moderately Available,Average,Average,Moderately satisfied,Average,Average,2
7/15/2023 19:45:35,Campus facilities,Neutral,Average,Average,Excellent,Average,No,3,1,Yes,Moderately Available,Average,Average,Moderately satisfied,Average,Average,1
7/15/2023 22:02:10,Student support services,Likely,Excellent,Excellent,Excellent,Excellent,Yes,3,2,No,Moderately Available,Excellent,Excellent,Moderately satisfied,Good,Good,4
7/16/2023 9:15:22,Communication and information,Likely,Good,Excellent,Good,Good,Yes,5,4,No,Moderately Available,Excellent,Good,Moderately satisfied,Good,Excellent,4
7/16/2023 9:27:17,Student support services,Very unlikely,Below Average,Excellent,Good,Good,Yes,4,3,Yes,Moderately Available,Good,Below Average,Not satisfied,Good,Average,3
7/16/2023 13:50:49,Student support services,Likely,Good,Excellent,Good,Average,Yes,3,3,No,Very Available,Excellent,Good,Very satisfied,Average,Good,4
7/16/2023 14:53:22,Other,Likely,Excellent,Excellent,Good,Excellent,Yes,3,3,No,Moderately Available,Excellent,Good,Very satisfied,Good,Good,4
7/16/2023 17:08:33,Communication and information,Likely,Good,Excellent,Excellent,Good,Yes,4,5,Yes,Moderately Available,Excellent,Good,Very satisfied,Excellent,Good,4
7/16/2023 17:09:22,Academics,Neutral,Poor,Average,Poor,Poor,Yes,4,1,No,Not Available,Poor,Poor,Not satisfied,Average,Average,2
7/16/2023 17:11:31,Student support services,Very likely,Average,Average,Good,Good,Yes,3,4,No,Moderately Available,Good,Good,Very satisfied,Good,Good,3
7/17/2023 6:10:03,Student support services,Neutral,Good,Good,Good,Good,Yes,1,5,Yes,Slightly Available,Good,Good,Very satisfied,Good,Good,5
7/17/2023 11:52:12,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/17/2023 21:27:05,Student support services,Unlikely,Good,Good,Average,Good,No,4,3,Yes,Moderately Available,Excellent,Excellent,Moderately satisfied,Average,Average,2
7/18/2023 13:05:13,Other,Neutral,Average,Average,Average,Average,Yes,2,1,No,Slightly Available,Average,Average,Moderately satisfied,Average,Average,1
7/18/2023 17:14:18,Student support services,Neutral,Good,Good,Good,Excellent,No,3,3,No,Moderately Available,Excellent,Average,Moderately satisfied,Average,Good,3
7/18/2023 21:56:16,Campus facilities,Very likely,Good,Excellent,Excellent,Excellent,Yes,2,1,Yes,Very Available,Good,Excellent,Very satisfied,Good,Excellent,2
7/20/2023 3:48:18,Student support services,Neutral,Average,Good,Good,Good,No,3,3,No,Moderately Available,Good,Average,Moderately satisfied,Average,Average,3
7/20/2023 5:31:14,Student support services,Neutral,Good,Good,Good,Excellent,No,4,3,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Average,1
7/20/2023 9:16:38,Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Moderately Available,Excellent,Good,Moderately satisfied,Good,Excellent,5
7/20/2023 21:58:32,Communication and information,Neutral,Average,Excellent,Average,Excellent,Yes,2,3,Yes,Slightly Available,Excellent,Excellent,Moderately satisfied,Excellent,Good,3
7/21/2023 9:58:46,Academics,Very unlikely,Poor,Good,Below Average,Good,No,1,3,No,Not Available,Good,Average,Slightly satisfied,Poor,Below Average,1
7/22/2023 2:00:58,Communication and information,Neutral,Below Average,Average,Below Average,Good,Yes,3,3,No,Slightly Available,Average,Below Average,Moderately satisfied,Average,Average,3
7/22/2023 19:07:47,Other,Neutral,Below Average,Excellent,Poor,Good,Yes,3,4,No,Slightly Available,Good,Below Average,Moderately satisfied,Average,Below Average,2
7/24/2023 16:42:10,Academics,Very unlikely,Excellent,Good,Good,Excellent,Yes,4,4,Yes,Moderately Available,Excellent,Good,Extremely satisfied,Good,Good,5
7/26/2023 3:50:34,Academics,Likely,Poor,Good,Good,Excellent,No,2,3,Yes,Not Available,Excellent,Average,Very satisfied,Average,Poor,3
7/27/2023 4:29:08,Student support services,Very likely,Good,Good,Good,Good,Yes,5,5,No,Moderately Available,Good,Good,Extremely satisfied,Good,Good,5
7/27/2023 17:23:26,Campus facilities,Neutral,Good,Good,Average,Below Average,Yes,5,2,No,Very Available,Average,Good,Very satisfied,Good,Good,3
